Year,Week,Member State,Feed Price (€/Tonne),Category,Cattle Price
2021,9,Ireland,215.0,Cows,298.22
2021,9,Ireland,215.0,Cows,297.63
2021,9,Ireland,215.0,Young cattle,377.84
2021,9,Ireland,215.0,Young cattle,369.88
2021,9,Ireland,215.0,Young cattle,366.23
2021,9,Ireland,215.0,Young cattle,351.04
2021,9,Ireland,215.0,Young cattle,349.54
2021,9,Ireland,215.0,Young cattle,262.55
2021,9,France,221.51,Cows,287.0
2021,9,Ireland,215.0,Cows,285.57
2021,9,France,221.51,Young bulls,407.0
2021,9,Ireland,215.0,Cows,269.61
2021,9,Ireland,215.0,Heifers,368.18
2021,9,France,221.51,Heifers,380.0
2021,9,Ireland,215.0,Steers,386.61
2021,9,France,221.51,Steers,385.0
2021,9,Ireland,215.0,Steers,377.66
2021,9,Ireland,215.0,Steers,377.49
2021,9,France,221.51,Steers,369.0
2021,9,Ireland,215.0,Steers,362.19
2021,9,Ireland,215.0,Steers,361.36
2021,9,France,221.51,Steers,319.0
2021,9,France,221.51,Steers,299.0
2021,9,Ireland,215.0,Steers,389.11
2021,9,Ireland,215.0,Heifers,376.3
2021,9,France,221.51,Cows,262.0
2021,9,France,221.51,Heifers,463.0
2021,9,Ireland,215.0,Heifers,380.72
2021,9,Ireland,215.0,Heifers,381.69
2021,9,Ireland,215.0,Heifers,389.63
2021,9,Ireland,215.0,Heifers,392.63
2021,9,Ireland,215.0,Heifers,393.9
2021,9,France,221.51,Heifers,400.0
2021,9,France,221.51,Heifers,474.0
2021,9,France,221.51,Heifers,415.0
2021,10,France,222.44,Young bulls,376.0
2021,10,Ireland,220.0,Young bulls,344.58
2021,10,Ireland,220.0,Young bulls,345.42
2021,10,France,222.44,Young bulls,409.0
2021,10,Ireland,220.0,Young bulls,363.12
2021,10,France,222.44,Young bulls,393.0
2021,10,Ireland,220.0,Young bulls,374.79
2021,10,France,222.44,Young bulls,381.0
2021,10,Ireland,220.0,Young bulls,374.46
2021,10,Ireland,220.0,Heifers,377.13
2021,10,France,222.44,Cows,377.0
2021,10,Ireland,220.0,Cows,324.03
2021,10,France,222.44,Cows,312.0
2021,10,Ireland,220.0,Cows,303.74
2021,10,Ireland,220.0,Cows,302.89
2021,10,Ireland,220.0,Cows,300.72
2021,10,France,222.44,Cows,300.0
2021,10,Ireland,220.0,Cows,291.43
2021,10,France,222.44,Cows,291.0
2021,10,Ireland,220.0,Cows,273.32
2021,10,France,222.44,Cows,266.0
2021,10,France,222.44,Heifers,467.0
2021,10,France,222.44,Heifers,457.0
2021,10,France,222.44,Heifers,414.0
2021,10,France,222.44,Heifers,407.0
2021,10,Ireland,220.0,Heifers,397.28
2021,10,Ireland,220.0,Heifers,395.02
2021,10,Ireland,220.0,Heifers,394.42
2021,10,France,222.44,Heifers,384.0
2021,10,Ireland,220.0,Heifers,383.81
2021,10,Ireland,220.0,Heifers,383.26
2021,10,France,222.44,Young bulls,331.0
2021,10,Ireland,220.0,Heifers,371.23
2021,10,Ireland,220.0,Heifers,369.45
2021,10,Ireland,220.0,Heifers,352.87
2021,10,France,222.44,Heifers,337.0
2021,10,France,222.44,Heifers,323.0
2021,10,France,222.44,Heifers,319.0
2021,10,Ireland,220.0,Cows,324.34
2021,10,France,222.44,Cows,331.0
2021,10,France,222.44,Cows,402.0
2021,10,France,222.44,Young bulls,330.0
2021,10,Ireland,220.0,Young bulls,361.93
2021,10,Ireland,220.0,Young cattle,357.05
2021,10,Ireland,220.0,Young cattle,366.86
2021,10,Ireland,220.0,Young cattle,349.11
2021,10,Ireland,220.0,Young cattle,364.58
2021,10,Ireland,220.0,Young cattle,357.83
2021,10,France,222.44,Steers,211.0
2021,10,France,222.44,Steers,292.0
2021,10,France,222.44,Steers,321.0
2021,10,Ireland,220.0,Steers,363.71
2021,10,Ireland,220.0,Steers,364.93
2021,10,France,222.44,Calves slaughtered <8M,592.0
2021,10,Ireland,220.0,Bulls,320.96
2021,10,France,222.44,Steers,369.0
2021,10,France,222.44,Steers,376.0
2021,10,Ireland,220.0,Steers,379.02
2021,10,Ireland,220.0,Steers,379.74
2021,10,Ireland,220.0,Steers,392.17
2021,10,Ireland,220.0,Steers,389.7
2021,10,France,222.44,Bulls,309.0
2021,10,Ireland,220.0,Steers,390.0
2021,11,Ireland,218.0,Heifers,396.59
2021,11,Ireland,218.0,Heifers,394.31
2021,11,Ireland,218.0,Heifers,385.81
2021,11,Ireland,218.0,Heifers,385.77
2021,11,France,222.44,Heifers,383.0
2021,11,Ireland,218.0,Heifers,370.85
2021,11,Ireland,218.0,Heifers,372.12
2021,11,Ireland,218.0,Young bulls,364.41
2021,11,France,222.44,Heifers,338.0
2021,11,France,222.44,Heifers,320.0
2021,11,France,222.44,Heifers,318.0
2021,11,Ireland,218.0,Heifers,399.05
2021,11,Ireland,218.0,Heifers,379.2
2021,11,France,222.44,Heifers,405.0
2021,11,Ireland,218.0,Young bulls,374.94
2021,11,France,222.44,Heifers,466.0
2021,11,France,222.44,Steers,404.0
2021,11,France,222.44,Calves slaughtered <8M,585.0
2021,11,Ireland,218.0,Steers,392.83
2021,11,Ireland,218.0,Steers,391.6
2021,11,Ireland,218.0,Steers,390.51
2021,11,Ireland,218.0,Steers,381.59
